SN,Date,Venue,City,State,Country,Set 1,Set 2,Set 3,Encore,Show Number
1,1/5/66,The Matrix,San Francisco,CA,US,"Its A Sin, Sick And Tired, Mindbender, On The Road Again, She Belongs To Me, Ill Go Crazy, Cant Come Down, Death Dont Have No Mercy, Parchman Farm, In The Midnight Hour, The Only Time Is Now, Early Morning Rain, Its All Over Now, Baby Blue",No Set 2,No Set 3,No Encore,1
2,1/7/66,Fillmore Auditorium,San Francisco,CA,US,"Im A King Bee, Im A Hog For You Baby, Caution (Do Not Stop On Tracks)> , Death Dont Have No Mercy",No Set 2,No Set 3,No Encore,1
3,3/18/66,Carthay Studios,Los Angeles,CA,US,"Viola Lee Blues, One Kind Favor, I Know You Rider, You See A Broken Heart, Its A Sin, Beat It On Down The Line, Heads Up, Next Time You See Me, Slow R and B Instrumental, Space, Death Dont Have No Mercy, In The Midnight Hour",No Set 2,No Set 3,No Encore,1
4,1/14/67,Fillmore Auditorium,San Francisco,CA,US,"Morning Dew, Viola Lee Blues, Good Morning Little Schoolgirl",No Set 2,No Set 3,No Encore,1
5,6/5/67,Caf' au Go,New York,NY,US,"Im A King Bee, It Hurts Me Too, The Same Thing, Big Boss Man, Alligator, In The Midnight Hour, Beat It On Down The Line, Me And My Uncle, New Minglewood Blues, Dont Ease Me In, Cold Rain And Snow, Viola Lee Blues, Its All Over Now, Baby Blue",No Set 2,No Set 3,No Encore,1
6,8/5/67,O'Keefe Centre,Toronto,N/A,CA,"Turn On Your Lovelight, Alligator",No Set 2,No Set 3,No Encore,1
7,12/27/67,Village Theater,New York,NY,US,Good Morning Little Schoolgirl,No Set 2,No Set 3,No Encore,1
8,1/16/68,Carousel Ballroom,San Francisco,CA,US,"Turn On Your Lovelight, Dark Star, China Cat Sunflower, The Eleven, Feedback, New Potato Caboose, Born Cross Eyed, Feedback","Beat It On Down The Line, Morning Dew, Cryptical Envelopment, The Other One, Cryptical Envelopment, Good Morning Little Schoolgirl",No Set 3,No Encore,1
9,2/14/68,Carousel Ballroom,San Francisco,CA,US,"Good Morning Little Schoolgirl, Dark Star, China Cat Sunflower, The Eleven, Turn On Your Lovelight","Cryptical Envelopment, The Other One, Cryptical Envelopment, New Potato Caboose, Born Cross Eyed, Spanish Jam, Alligator, Caution (Do Not Stop On Tracks), Feedback",No Set 3,In The Midnight Hour,1
10,2/23/68,King's Beach Bowl,Lake Tahoe,CA,US,"Viola Lee Blues> , Drums> , Viola Lee Blues, It Hurts Me Too, Dark Star> , China Cat Sunflower> , The Eleven> , Turn On Your Lovelight, Born Cross Eyed> , Spanish Jam",No Set 2,No Set 3,No Encore,1
11,2/24/68,King's Beach Bowl,Lake Tahoe,CA,US,"Morning Dew, Good Morning Little Schoolgirl, Cryptical Envelopment, The Other One, Cryptical Envelopment, New Potato Caboose, Alligator, Drums, China Cat Sunflower, The Eleven, Alligator, Drums, Alligator, Caution (Do Not Stop On Tracks), Feedback",No Set 2,No Set 3,No Encore,1
12,3/15/68,Carousel Ballroom,San Francisco,CA,US,"Dark Star, China Cat Sunflower, The Eleven, Good Morning Little Schoolgirl","Morning Dew, It Hurts Me Too, Cryptical Envelopment, The Other One, Cryptical Envelopment, Alligator, Caution (Do Not Stop On Tracks), Feedback, And We Bid You Good Night",No Set 3,No Encore,1
13,3/26/68,Carousel Ballroom,San Francisco,CA,US,"Morning Dew, Turn On Your Lovelight, Cryptical Envelopment, The Other One, Cryptical Envelopment, New Potato Caboose, Born Cross Eyed",No Set 2,No Set 3,No Encore,1
14,5/4/68,Central Park,New York,NY,US,Morning Dew,No Set 2,No Set 3,No Encore,1
15,5/23/68,National Guard Armory,St. Louis,MO,US,"Turn On Your Lovelight, Cryptical Envelopment, The Other One, Cryptical Envelopment, Dark Star, Saint Stephen, The Eleven, Caution (Do Not Stop On Tracks), Feedback, And We Bid You Good Night",No Set 2,No Set 3,No Encore,1
